municipio,atracao
"Ponte Nova","Cachoeira do Vau Açu"
"Ponte Nova","Carne de porco - Ponte Nova"
"Ponte Nova","Queijos - Ponte Nova"
"Presidente Kubitschek","Cachoeira da Paca"
"Presidente Kubitschek","Cachoeira do Guaribas"
"Presidente Kubitschek","Cachoeira do Laércio"
"Presidente Kubitschek","Cachoeira do Tamanduá"
"Presidente Kubitschek","Cânion do Funil"
"Presidente Kubitschek","Capela Nossa Senhora de Fátima"
"Presidente Kubitschek","Cascata Ananias"
"Presidente Kubitschek","Igreja de Nossa Senhora das Dores"
Sabinópolis,"Igreja de Nossa Senhora do Rosário"
Sabinópolis,"Igreja Matriz de São Sebastião"
"Santa Bárbara","Antiga Estação"
"Santa Bárbara","Capela da Arquiconfraria do Cordão de São Francisco"
"Santa Bárbara","Casa de Cultura de Santa Bárbara"
"Santa Bárbara","Casa do Mel de Santa Bárbara"
"Santa Bárbara","Igreja de Nossa Senhora das Mercês"
"Santa Bárbara","Igreja de Santo Amaro"
"Santa Bárbara","Igreja Matriz de Santo Antonio"
"Santa Bárbara","Igreja Nossa Senhora do Rosário"
"Santa Luzia","Capela Nossa Senhora do Bonfim"
"Santa Luzia","Estação Ferroviária"
"Santa Luzia","Igreja de Nossa Senhora do Rosário"
"Santa Luzia","Igreja Matriz de Santa Luzia"
"Santa Luzia","Mosteiro de Macaúbas"
"Santa Luzia","Museu Histórico Aurélio Dolabela"
"Santa Luzia","Solar da Baronesa"
"Santana de Pirapama","Cachoeira dos Inhames"
"Santana de Pirapama","Capela de São Sebastião"
"Santo Antônio do Itambé","Cachoeira da Água Santa"
"Santo Antônio do Itambé","Cachoeira da Fumaça"
"Santo Antônio do Itambé","Cachoeira do Lageadão"
"Santo Antônio do Itambé","Cachoeira do Lageado"
"Santo Antônio do Itambé","Chafariz João Baracho"
"Santo Antônio do Itambé","Igreja Matriz de Santo Antônio"
"Santo Antônio do Itambé","Parque Estadual Pico do Itambé"
"Santo Antônio do Rio Abaixo","Cachoeira do Chuvisco"
"Santo Hipólito","Estação Central"
"Santo Hipólito","Igreja Senhora da Glória"
"São Gonçalo do Rio Abaixo","Igreja Matriz Santo Antônio"
"São Gonçalo do Rio Abaixo","Usina Hidrelétrica e Estação Ambiental de PetI"
"São Gonçalo do Rio das Pedras","Cachoeira da Grota Seca"
"São Gonçalo do Rio das Pedras","Cachoeira do Comércio"
"São Gonçalo do Rio das Pedras","Festival do Frango Caipira - São Gonçalo do Rio das Pedras"
"São Gonçalo do Rio das Pedras","Fogão a lenha artesanal - São Gonçalo do Rio das Pedras"
"São Gonçalo do Rio das Pedras","Igreja de Nossa Senhora do Rosário"
"São Gonçalo do Rio das Pedras","Igreja Matriz de São Gonçalo"
"São Gonçalo do Rio Preto","Capela Senhor do Bom Jesus"
"São Gonçalo do Rio Preto","Igreja Matriz São Gonçalo"
"São Gonçalo do Rio Preto","Parque Estadual do Rio Preto"
"São Sebastião do Rio Preto","Igreja de São Sebastião"
"São Sebastião do Rio Preto","Praia da Conquista"
"Senhora do Porto","Igreja Matriz Nossa Senhora do Porto"
"Serra Azul de Minas","Cachoeira da Barragem"
"Serra Azul de Minas","Cachoeira do Trombé"
"Serra do Cipó - Santana do Riacho","Cachoeira Congonhas"
"Serra do Cipó - Santana do Riacho","Cachoeira da Caverna"
"Serra do Cipó - Santana do Riacho","Cachoeira das Andorinhas"
"Serra do Cipó - Santana do Riacho","Cachoeira do Cornélio"
"Serra do Cipó - Santana do Riacho","Cachoeira Grande"
"Serra do Cipó - Santana do Riacho","Cânion Travessão"
"Serra do Cipó - Santana do Riacho","Estátua do Juquinha"
"Serra do Cipó - Santana do Riacho","Mercadinho Comunitário "Tá Caindo Fulô" - Serra do Cipó"
Serro,"Cachaça - Serro"
Serro,"Casa de Caridade Santa Tereza"
Serro,"Casarão de Pedro Lessa"
Serro,"Chácara Barão do Serro"
Serro,"Chácara do Barão de Diamantina"
Serro,"Igreja de Santa Rita"
Serro,"Igreja do Bom Jesus do Matozinhos"
Serro,"Igreja Nossa Senhora do Carmo"
"Alfredo Vasconcelos","Igreja Matriz de Nossa Senhora do Rosário"
"Alfredo Vasconcelos","Morango - Alfredo Vasconcelos"
"Alto Rio Doce","Igreja Nossa Senhora do Rosário"
"Antônio Carlos","Cachoeira Mariana Afonso"
"Antônio Carlos","Casa de Cultura"
