municipio,atracao
"São Vicente de Minas","Trilha em São Vicente de Minas"
Serranos,"Cachoeira da Maria Joana"
Serranos,"Cachoeira Santa Fé"
Serranos,"Igreja Nossa Senhora do Bom Sucesso"
Silveiras,"Fundação Nacional do Tropeirismo"
"Soledade de Minas","Queijos - Soledade de Minas"
Tiradentes,Cachaça
Tiradentes,"Canudinho do Chico Doceiro"
Tiradentes,"Capela de São Francisco de Paula"
Tiradentes,"Centro Cultural Yves Alves"
Tiradentes,"Chafariz de São José de Botas"
Tiradentes,"Festival de Cultura e Gastronomia - Tiradentes"
Tiradentes,"Igreja Matriz de Santo Antônio"
Tiradentes,"Igreja Nossa Senhora do Rosário dos Pretos"
Brumadinho,"Brumadinho Gourmet"
Brumadinho,"Inhotim Instituto Cultural"
Brumadinho,"Parque Estadual Serra do Rola Moça"
Caeté,"Cachoeira de Santo Antônio"
Caeté,"Capela Nossa Senhora do Rosário"
Caeté,"Igreja de Nossa Senhora de Nazaré"
Caeté,"Igreja de São Francisco de Assis - Caeté"
Caeté,"Igreja Nossa Senhora do Bom Sucesso"
Caeté,"Igreja Nossa Senhora do Rosário"
Caeté,"Museu Regional de Caeté"
Caeté,"Observatório Astronômico Frei Rosário"
Itabirito,"1º Alto Forno em Carcaça de Aço da America Latina"
Itabirito,"Cachaça - Itabirito"
Itabirito,"Cachoeira Cascalho"
Itabirito,"Cachoeira do Cruzado"
Itabirito,"Capela do Senhor Bom Jesus do Matozinho"
Itabirito,"Capela Nossa Senhora do Rosário"
Itabirito,"Complexo Turístico da Estação Ferroviária"
Itabirito,"Festa do Pastel de Angu - Itabirito"
"Nova Lima","Centro Cultural de Nova Lima"
"Nova Lima","Cervejas artesanais - Nova Lima"
"Nova Lima","Experimente - Nova Lima"
"Nova Lima","Igreja do Nosso Senhor do Bonfim"
"Nova Lima","Igreja Matriz Nossa Senhora do Pilar"
"Nova Lima","Igreja Nossa Senhora do Rosário"
"Nova Lima","Parque Estadual Serra do Rola Moça"
"Nova Lima","Santuário Bom Jesus do Matozinhos"
Raposos,"Matriz de Nossa Senhora da Conceição"
"Rio Acima","Cachoeira Chica Dona"
"Rio Acima","Cachoeira do Sansa"
"Rio Acima","Cachoeira Viana"
"Rio Acima","Feira Fundo de Quintal - Rio Acima"
"Rio Acima","Parque Nacional da Serra do Gandarela"
Sabará,"Capela do Senhor Bom Jesus"
Sabará,"Chafariz do Kaquende"
Sabará,"Festival da Jabuticaba - Sabará"
Sabará,"Festival do Ora-pro-nóbis - Sabará"
Sabará,"Igreja de Nossa Senhora do Carmo"
Sabará,"Igreja Nossa Senhora da Conceição"
Sabará,"Igreja Nossa Senhora das Mercês"
Sabará,"Igreja Nossa Senhora do Ó"
