municipio,hotel,cod_caminho
"Santa Bárbara","Pousada das Nascentes",01
"São Gonçalo do Rio das Pedras","Pousada Do Pequi",01
"São Gonçalo do Rio das Pedras","Casa Aconchego do Sol",01
"São Gonçalo do Rio das Pedras","Pousada Luar do Rosário",01
"São Gonçalo do Rio das Pedras","Pousada Sempre Viva",01
"São Gonçalo do Rio das Pedras","casa bela vista",01
"São Gonçalo do Rio das Pedras","Casa amarela",01
"São Gonçalo do Rio das Pedras","Casa Completa Milho Verde",01
"São Gonçalo do Rio das Pedras","Hotel Montanhas de Minas",01
"São Gonçalo do Rio das Pedras","POUSADA FLOR DE LIS",01
"São Gonçalo do Rio das Pedras","Hotel conexão",01
"São Gonçalo do Rio das Pedras","Pousada Gameleira",01
"São Gonçalo do Rio das Pedras","APARTAMENTOS ALTOS DA GRUPIARA - DIAMANTINA/MG",01
"São Gonçalo do Rio das Pedras","Casa Diamantina",01
"São Gonçalo do Rio das Pedras","Pousada Villa Magna - Chalé Família",01
"São Gonçalo do Rio das Pedras","Pousada Dona Dazinha",01
"São Gonçalo do Rio das Pedras","Pousada Acayaca",01
"São Gonçalo do Rio das Pedras","Casa Candeia",01
"São Gonçalo do Rio das Pedras","Diamantina Hostel",01
"São Gonçalo do Rio das Pedras","POUSADA CAPIM LIMÃO",01
"São Gonçalo do Rio das Pedras","Pousada Caminho Dos Escravos",01
Areal,"HOSTEL DAS ESTRELAS",02
Areal,"Sítio 1001 - Observe o mais belo céu do RJ",02
Areal,"WTR CHALÉS",02
Areal,"Bomtempo Itaipava - Esporte & Lazer",02
Areal,"Residencial Flor- Hilda",02
Areal,"Nosso Sítio - Rancho Santa Clara Itaipava",02
Areal,"Castelo de Itaipava Hotel, Eventos e Bistrô",02
Areal,"Bed & Breakfast Pouso Donana",02
Areal,"Cama e Café Hospedagem do Bosque",02
Areal,"ibis Styles Tres Rios",02
Areal,"Suites em meio a Mata Atlântica",02
Areal,"Hotel Comendador",02
Areal,"Granja Brasil - NM Imovéis Itaipava",02
Areal,"Fazenda Piloes",02
Areal,"Pousada R.N.C. Nosso Paraíso",02
Areal,"Apart-hotel Granja Brasil Itaipava",02
Areal,"Estudio Itaipava Suíte",02
Areal,"Chácara Canto Dos Pássaros",02
Areal,"Guest House Nosso Aconchego",02
Areal,"Chalé Meu Agresthe",02
Areal,"PARQUE DO IMBUI UNICA E EXCLUSIVA PARA CRIANCAS E BEBES INFRA COM PISCINA PRAINHA AQUECIMENTO opcional PISTA PATINACAO FLORESTA FRUTAS ESPACO GOURMET LUXO UNICA NA REGIAO SERRANA Agora Com 5G",02
Areal,"Pousada Arvore da Vida",02
Areal,"Sítio amplo e aconchegante em Teresópolis",02
Areal,"Intercity Teresópolis",02
Areal,"Suíte privada no meio da natureza serrana.",02
Barbacena,"ibis budget Barbacena",02
