municipio,atracao,caminho
Cambuquira,"Cachoeira Cascata do Congonhal","Caminho Velho"
Cambuquira,"Igreja Matriz de São Sebastião","Caminho Velho"
Cambuquira,"Igreja Nossa Senhora Aparecida","Caminho Velho"
Cambuquira,"Parque das Águas","Caminho Velho"
Cambuquira,"Pico do Piripau","Caminho Velho"
Cambuquira,"Reserva Biologica de Santa Clara","Caminho Velho"
"Carmo de Minas","Cachoeira Canaã","Caminho Velho"
"Carmo de Minas","Cafés Especiais - Carmo de Minas","Caminho Velho"
"Carmo de Minas","Igreja de São Sebastião","Caminho Velho"
"Carmo de Minas","Pico Agudo","Caminho Velho"
"Carmo de Minas","Rota do Café Especial","Caminho Velho"
"Carmo de Minas","Sabores da Estrada Real - Café","Caminho Velho"
Carrancas,"Cachoeira da Fumaça","Caminho Velho"
Carrancas,"Cachoeira da Zilda","Caminho Velho"
Carrancas,"Cachoeira do Luciano","Caminho Velho"
Carrancas,"Cachoeira do Moinho","Caminho Velho"
Carrancas,"Cachoeira do Salomão","Caminho Velho"
Carrancas,"Cachoeira Grande","Caminho Velho"
Carrancas,"Cachoeira Serrinha","Caminho Velho"
Carrancas,"Cachoeira Tira Prosa","Caminho Velho"
"Casa Grande","Gruta do Morcego","Caminho Velho"
"Casa Grande","Igreja de São Sebastião","Caminho Velho"
Caxambu,"Águas Minerais - Caxambu","Caminho Velho"
Caxambu,"Doces - Caxambu","Caminho Velho"
Caxambu,"Festival Boa Mesa - Caxambu","Caminho Velho"
Caxambu,"Igreja de Santa Isabel da Hungria","Caminho Velho"
Caxambu,"Museu Histórico de Caxambu","Caminho Velho"
Caxambu,"Paróquia Nossa Senhora dos Remédios","Caminho Velho"
Caxambu,"Parque das Águas de Caxambu","Caminho Velho"
Caxambu,"Praça XVI de Setembro","Caminho Velho"
"Conceição da Barra de Minas","Cachoeira do Flavito","Caminho Velho"
"Conceição da Barra de Minas","Igreja de Santo Antônio","Caminho Velho"
"Conceição do Rio Verde","Cachoeira do Lemes","Caminho Velho"
"Conceição do Rio Verde","Corredeiras do Jurumirim","Caminho Velho"
"Conceição do Rio Verde","Igreja Basílica Nossa Senhora da Conceição","Caminho Velho"
"Conceição do Rio Verde","Morro do Careca","Caminho Velho"
"Conceição do Rio Verde","Parque das Águas","Caminho Velho"
Congonhas,"Basílica do Senhor Bom Jesus de Matosinhos","Caminho Velho"
Congonhas,"Festival das Quitandas - Congonhas","Caminho Velho"
Congonhas,"Obras de Aleijadinho em Congonhas","Caminho Velho"
Congonhas,"Parque da Cachoeira","Caminho Velho"
"Coronel Xavier Chaves","Alambique - Coronel Xavier Chaves","Caminho Velho"
"Coronel Xavier Chaves","Árvore do Jequitibá","Caminho Velho"
"Coronel Xavier Chaves","Cachoeira Baú","Caminho Velho"
"Coronel Xavier Chaves","Queijo Catauá - Coronel Xavier Chaves","Caminho Velho"
Cristina,"Cachoeira Lambari","Caminho Velho"
Cristina,"Café - Cristina","Caminho Velho"
Cristina,"Festival Café com Música - Cristina","Caminho Velho"
Cristina,"Igreja Matriz do Divino Espírito Santo","Caminho Velho"
Cruzília,"Igreja Matriz São Sebastião de Cruzília","Caminho Velho"
Cruzília,"Museu Nacional do Cavalo Mangalarga Marchador","Caminho Velho"
Cruzília,"Queijos Finos - Cruzília","Caminho Velho"
Cunha,"Cachoeiras de Cunha","Caminho Velho"
Cunha,"Cerâmica de Cunha","Caminho Velho"
Cunha,"Festa do Pinhão - Cunha","Caminho Velho"
Cunha,"Festas Folclóricas e Religiosas","Caminho Velho"
Cunha,"Gastronomia de Cunha","Caminho Velho"
Cunha,"Igreja Nossa Senhora dos Remédios","Caminho Velho"
Cunha,"Matriz de Nossa Senhora da Conceição","Caminho Velho"
Cunha,"Mercado Municipal","Caminho Velho"
"Delfim Moreira","Azeite Extra Virgem Orgânico - Delfim Moreira","Caminho Velho"
"Delfim Moreira","Marmelo - Delfim Moreira","Caminho Velho"
"Dom Viçoso","Mirante da Serrinha - Pedra Boizinho - Chapadão","Caminho Velho"
"Entre Rios de Minas","Cachoeira do Gordo","Caminho Velho"
"Entre Rios de Minas","Capela Olhos d'Água","Caminho Velho"
Glaura,"Carne de Lata - Glaura","Caminho do Sabarabuçu"
Glaura,"Carne de Lata - Glaura","Caminho Velho"
Guaratinguetá,"Festival da Truta - Guaratinguetá","Caminho Velho"
Guaratinguetá,"Museu Frei Galvão","Caminho Velho"
Guaratinguetá,"Truta - Guaratinguetá","Caminho Velho"
Ibituruna,"Igreja Matriz de São Gonçalo do Amarante","Caminho Velho"
Ingaí,"Cachoeira Paraíso","Caminho Velho"
Ingaí,"Gruta Nossa Senhora da Piedade","Caminho Velho"
Itamonte,"Cachoeira da Fragária","Caminho Velho"
Itamonte,"Parque Nacional Itatiaia","Caminho Velho"
Itamonte,"Pedra do Picú","Caminho Velho"
Itanhandu,"Árvore dos Enforcados","Caminho Velho"
Itanhandu,"Cachoeira da Usina","Caminho Velho"
Itanhandu,"Cachoeira do Vô Delfim","Caminho Velho"
Itanhandu,"Festival de Aromas e Sabores - Itanhadu","Caminho Velho"
Itanhandu,"Igreja Matriz de Itanhandu","Caminho Velho"
Itanhandu,"Igreja Nossa Senhora Bonsucesso","Caminho Velho"
Itanhandu,Maluquinho,"Caminho Velho"
Itanhandu,"Pedra da Poeira","Caminho Velho"
Itutinga,"Cachoeira das Andorinhas","Caminho Velho"
Itutinga,"Cachoeira do Raulino","Caminho Velho"
Itutinga,"Igreja Matriz de Santo Antônio de Pádua","Caminho Velho"
Itutinga,"Represa Camargos","Caminho Velho"
Jesuânia,"Igreja de Nosso Senhor do Bom Jesus","Caminho Velho"
"Lagoa Dourada","Fazenda do Engenho","Caminho Velho"
"Lagoa Dourada","Festa do Rocambole - Lagoa Dourada","Caminho Velho"
"Lagoa Dourada","Igreja Matriz de Santo Antônio","Caminho Velho"
"Lagoa Dourada","Rocambole - Lagoa Dourada","Caminho Velho"
Lambari,"Cassino do Lago","Caminho Velho"
Lambari,"Fonte Luminosa","Caminho Velho"
Lambari,"Parque Estadual Nova Baden","Caminho Velho"
Luminárias,"Cachoeira da Serra Grande","Caminho Velho"
Luminárias,"Cachoeira do Mandembe","Caminho Velho"
Luminárias,"Caverna da Serra Grande","Caminho Velho"
Luminárias,"Gruta da Pinguela","Caminho Velho"
"Maria da Fé","Azeite - Maria da Fé","Caminho Velho"
"Maria da Fé","Cachoeira do Zé Braga","Caminho Velho"
"Maria da Fé","Igreja Matriz Nossa Senhora de Lourdes","Caminho Velho"
Minduri,"Cachoeira do Vorney","Caminho Velho"
Minduri,"Cachoeira Quebra Chifres","Caminho Velho"
Minduri,"Igreja Matriz Sagrado Coração de Jesus","Caminho Velho"
Moeda,"Cachoeira do Paiolinho","Caminho Velho"
Moeda,"Poço do Limoeiro","Caminho Velho"
Moeda,"Serra da Moeda","Caminho Velho"
Nazareno,"Cachoeira da Usina","Caminho Velho"
Nazareno,"Igreja Nossa Senhora de Nazaré","Caminho Velho"
Nazareno,"Represa de Camargos","Caminho Velho"
Paraty,"Cabeça de Índio","Caminho Velho"
Paraty,"Cachaça - Paraty","Caminho Velho"
Paraty,"Cachoeira do Tobogã","Caminho Velho"
Paraty,"Cachoeira Pedra Branca","Caminho Velho"
Paraty,"Centro Histórico de Paraty","Caminho Velho"
Paraty,"City Tour em Paraty","Caminho Velho"
Paraty,"Escuna em Paraty","Caminho Velho"
Paraty,"Festival da Cachaça, Cultura e Sabores - Paraty","Caminho Velho"
"Passa Quatro","Cachoeira da Encruza","Caminho Velho"
"Passa Quatro","Cachoeira da Gomeira","Caminho Velho"
"Passa Quatro","Cachoeira da Gomeira","Caminho Velho"
"Passa Quatro","Cachoeira do Andorinhão","Caminho Velho"
"Passa Quatro","Casa de Cultura de Passa Quatro","Caminho Velho"
"Passa Quatro","Estação Ferroviária de Passa Quatro","Caminho Velho"
"Passa Quatro","Festival Gastronômico - Passa Quatro","Caminho Velho"
"Passa Quatro","Floresta Nacional de Passa Quatro","Caminho Velho"
"Passa Tempo","Cachoeira Dornelas","Caminho Velho"
"Passa Tempo","Igreja Matriz de Nossa Senhora da Glória","Caminho Velho"
"Passa Tempo","Trilha dos Bandeirantes","Caminho Velho"
"Piedade do Rio Grande","Cachoeira Rio Grande","Caminho Velho"
"Piedade do Rio Grande","Gruta Nossa Senhora da Piedade","Caminho Velho"
"Piedade do Rio Grande","Igreja Nossa Senhora do Rosário","Caminho Velho"
Piquiri,"Cachoeira da Fumaça","Caminho Velho"
Piquiri,"Vestígios da Estrada Real","Caminho Velho"
"Pouso Alto","Igreja Matriz Nossa Senhora da Conceição","Caminho Velho"
Prados,"Artesanato em Bichinho","Caminho Velho"
Prados,"Capela Nossa Senhora do Rosário","Caminho Velho"
Prados,"Capela Santo Antônio","Caminho Velho"
Prados,"Igreja Nossa Senhora da Penha de França","Caminho Velho"
Prados,"Serra São José","Caminho Velho"
"Resende Costa","Fazenda Salva Terra","Caminho Velho"
"Resende Costa","Igreja Matriz de Nossa Senhora da Penha de França","Caminho Velho"
"Resende Costa","Teatro Municipal de Resende Costa","Caminho Velho"
Ritápolis,"Cachoeira Jabuiú","Caminho Velho"
Ritápolis,"Igreja Nossa Senhora do Rosário","Caminho Velho"
Ritápolis,"Parque Floresta Nacional de Ritápolis","Caminho Velho"
Ritápolis,"Santuário Diocesano de Santa Rita de Cássia","Caminho Velho"
"Santa Cruz de Minas","Cachoeira do Bom Despacho","Caminho Velho"
"Santa Cruz de Minas",Cruzeiro,"Caminho Velho"
"Santa Cruz de Minas","Igreja Matriz de São Sebastião","Caminho Velho"
"Santa Cruz de Minas","Marco Zero da Estrada Real","Caminho Velho"
"Santa Cruz de Minas","Refúgio de Vida Silvestre Libélulas da Serra","Caminho Velho"
"Santo Antônio do Leite","Mirante da Pedra","Caminho Velho"
"São Bartolomeu","Doces de São Bartolomeu","Caminho Velho"
"São Bartolomeu","Floresta Estadual do Uaimií","Caminho Velho"
"São Bartolomeu","Igreja Nossa Senhora das Mercês","Caminho Velho"
"São Bartolomeu","Igreja São Bartolomeu","Caminho Velho"
"São João del Rei","Casa de Pedra","Caminho Velho"
"São João del Rei","Catedral Basílica Nossa Senhora do Pilar","Caminho Velho"
"São João del Rei","Festival Happy Hour - São João del Rei","Caminho Velho"
"São João del Rei","Igreja de Nossa Senhora das Mercês","Caminho Velho"
"São João del Rei","Igreja de São Francisco de Assis - São João del Rei","Caminho Velho"
"São João del Rei","Maria Fumaça São João del-Rei - Tiradentes","Caminho Velho"
"São João del Rei","Ponte da Cadeia","Caminho Velho"
"São João del Rei","Prefeitura Municipal","Caminho Velho"
"São Lourenço","Águas Minerais - São Lourenço","Caminho Velho"
"São Lourenço","Caminho do Artesanato","Caminho Velho"
"São Lourenço","Doces - São Lourenço","Caminho Velho"
"São Lourenço","Ermida Bom Jesus do Monte","Caminho Velho"
"São Lourenço","Estação Ferroviária de São Lourenço","Caminho Velho"
"São Lourenço","Igreja Matriz - Paroquia São Lourenço Martir","Caminho Velho"
"São Lourenço","Parque das Águas","Caminho Velho"
"São Lourenço","Trem das Águas","Caminho Velho"
"São Thomé das Letras","Cachoeira Antares","Caminho Velho"
"São Thomé das Letras","Cachoeira da Chuva","Caminho Velho"
"São Thomé das Letras","Cachoeira da Eubiose","Caminho Velho"
"São Thomé das Letras","Cachoeira da Lua","Caminho Velho"
"São Thomé das Letras","Cachoeira da Ricarda","Caminho Velho"
"São Thomé das Letras","Cachoeira do Flávio","Caminho Velho"
"São Thomé das Letras","Cachoeira do Paraíso","Caminho Velho"
"São Thomé das Letras","Cachoeira Vale das Borboletas","Caminho Velho"
"São Tiago","Biscoitos - São Tiago","Caminho Velho"
"São Tiago","Festa do Café com Biscoito - São Tiago","Caminho Velho"
"São Vicente de Minas","Cachoeira da Ponte do Garcia","Caminho Velho"
"São Vicente de Minas","Igreja Matriz de São Vicente Férrer","Caminho Velho"
"São Vicente de Minas","Igreja Nossa Senhora do Rosário","Caminho Velho"
"São Vicente de Minas","Trilha em São Vicente de Minas","Caminho Velho"
Serranos,"Cachoeira da Maria Joana","Caminho Velho"
Serranos,"Cachoeira Santa Fé","Caminho Velho"
Serranos,"Igreja Nossa Senhora do Bom Sucesso","Caminho Velho"
Silveiras,"Fundação Nacional do Tropeirismo","Caminho Velho"
"Soledade de Minas","Queijos - Soledade de Minas","Caminho Velho"
Tiradentes,Cachaça,"Caminho Velho"
Tiradentes,"Canudinho do Chico Doceiro","Caminho Velho"
Tiradentes,"Capela de São Francisco de Paula","Caminho Velho"
Tiradentes,"Centro Cultural Yves Alves","Caminho Velho"
Tiradentes,"Chafariz de São José de Botas","Caminho Velho"
Tiradentes,"Festival de Cultura e Gastronomia - Tiradentes","Caminho Velho"
Tiradentes,"Igreja Matriz de Santo Antônio","Caminho Velho"
Tiradentes,"Igreja Nossa Senhora do Rosário dos Pretos","Caminho Velho"
Brumadinho,"Brumadinho Gourmet","Caminho do Sabarabuçu"
Brumadinho,"Inhotim Instituto Cultural","Caminho do Sabarabuçu"
Brumadinho,"Parque Estadual Serra do Rola Moça","Caminho do Sabarabuçu"
Caeté,"Cachoeira de Santo Antônio","Caminho do Sabarabuçu"
Caeté,"Capela Nossa Senhora do Rosário","Caminho do Sabarabuçu"
Caeté,"Igreja de Nossa Senhora de Nazaré","Caminho do Sabarabuçu"
Caeté,"Igreja de São Francisco de Assis - Caeté","Caminho do Sabarabuçu"
Caeté,"Igreja Nossa Senhora do Bom Sucesso","Caminho do Sabarabuçu"
Caeté,"Igreja Nossa Senhora do Rosário","Caminho do Sabarabuçu"
Caeté,"Museu Regional de Caeté","Caminho do Sabarabuçu"
Caeté,"Observatório Astronômico Frei Rosário","Caminho do Sabarabuçu"
Itabirito,"1º Alto Forno em Carcaça de Aço da America Latina","Caminho do Sabarabuçu"
Itabirito,"Cachaça - Itabirito","Caminho do Sabarabuçu"
Itabirito,"Cachoeira Cascalho","Caminho do Sabarabuçu"
Itabirito,"Cachoeira do Cruzado","Caminho do Sabarabuçu"
Itabirito,"Capela do Senhor Bom Jesus do Matozinho","Caminho do Sabarabuçu"
Itabirito,"Capela Nossa Senhora do Rosário","Caminho do Sabarabuçu"
Itabirito,"Complexo Turístico da Estação Ferroviária","Caminho do Sabarabuçu"
Itabirito,"Festa do Pastel de Angu - Itabirito","Caminho do Sabarabuçu"
"Nova Lima","Centro Cultural de Nova Lima","Caminho do Sabarabuçu"
"Nova Lima","Cervejas artesanais - Nova Lima","Caminho do Sabarabuçu"
"Nova Lima","Experimente - Nova Lima","Caminho do Sabarabuçu"
"Nova Lima","Igreja do Nosso Senhor do Bonfim","Caminho do Sabarabuçu"
"Nova Lima","Igreja Matriz Nossa Senhora do Pilar","Caminho do Sabarabuçu"
"Nova Lima","Igreja Nossa Senhora do Rosário","Caminho do Sabarabuçu"
"Nova Lima","Parque Estadual Serra do Rola Moça","Caminho do Sabarabuçu"
"Nova Lima","Santuário Bom Jesus do Matozinhos","Caminho do Sabarabuçu"
Raposos,"Matriz de Nossa Senhora da Conceição","Caminho do Sabarabuçu"
"Rio Acima","Cachoeira Chica Dona","Caminho do Sabarabuçu"
"Rio Acima","Cachoeira do Sansa","Caminho do Sabarabuçu"
"Rio Acima","Cachoeira Viana","Caminho do Sabarabuçu"
"Rio Acima","Feira Fundo de Quintal - Rio Acima","Caminho do Sabarabuçu"
"Rio Acima","Parque Nacional da Serra do Gandarela","Caminho do Sabarabuçu"
Sabará,"Capela do Senhor Bom Jesus","Caminho do Sabarabuçu"
Sabará,"Chafariz do Kaquende","Caminho do Sabarabuçu"
Sabará,"Festival da Jabuticaba - Sabará","Caminho do Sabarabuçu"
Sabará,"Festival do Ora-pro-nóbis - Sabará","Caminho do Sabarabuçu"
Sabará,"Igreja de Nossa Senhora do Carmo","Caminho do Sabarabuçu"
Sabará,"Igreja Nossa Senhora da Conceição","Caminho do Sabarabuçu"
Sabará,"Igreja Nossa Senhora das Mercês","Caminho do Sabarabuçu"
Sabará,"Igreja Nossa Senhora do Ó","Caminho do Sabarabuçu"
